name,primary_contact_name,primary_mobile,alternate_mobile,whatsapp_number,email,deals_in,address,city,pincode,timings,website,remarks,is_active
New Bombay Stationary Stores,Mangesh Bhai,9082363841,,,,"Stationery Store — Wholesale Dealers of Stationary, Engineering, Artists, Materials & Distributors for Camlin","213, Abdul Rehman Street, 1st Floor, Mumbai 400003",,,"10-7:30 PM, Sunday Closed",,"Last purchased: 8th June 2023 | Office: 23426973 | [Imported from supplier master sheet, Supplier ID 1]",True
Bombay Stickers,Mohamed Hanif,8767433022,,,hansie19@yahoo.com,"Stationery Store — Wholesale Dealers of Stickers, Arts & Crafts","185/187, Abdul Rehman Street, Crawford Market, Mumbai 400003",,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 2]",True
Oswald Book Mfd. Depot,,,,,oswalbook@gmail.com,"Stationery Store — Manufacturer of Exercise Books, Account Books, Office Files & Diaries. Peans, Gift sets, T-shrits, Bottles, Gift items, Calculators, Shooting Materials, etc.","193, Abdul Rehman Street, Mumbai 400003",,,,,"Terms: 20% Discount | Last purchased: 8th June 2023 | Raw contact no. (unparsed): 49601636 | Office: 022-23427363 | [Imported from supplier master sheet, Supplier ID 3]",True
Kwality Craft,,,,,kwalitycard@hotmail.com,Stationery Store — Stickers,"209, AR Street, Mumbai 400003",,,,,"Last purchased: 8th June 2023 | Office: 23432288 | [Imported from supplier master sheet, Supplier ID 4]",True
SK Enterprises,,,,,,Stationery Store — Toys - Wooden mostly,,,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 5]",True
Ajanta Craft,Sajid Bhai,9819669442,,,,Stationery Store,,,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 6]",True
Ajanta Stationary,Aswin Bhai,9619404252,,,,Stationery Store,,,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 7]",True
Ajanta Art,Milan Bhai,9619406262,,,,Art Store,,,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 8]",True
Local Crawford Store 1,,,,,,Stationery Store,Crawford,,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 9]",True
HobbyIndia,Shreyans,,,,,Art Store — Online store in Gujrat for MDF and canvas based DIY Kits,,,,,,"Last purchased: 7th June 2023 | [Imported from supplier master sheet, Supplier ID 10]",True
EastCoast Stationary & More,,8910967096,,8104231003,,Stationery Store,"Groundfloor, 322 Abdul Rehman Street, Mumbai 400003",,,,,"Last purchased: 8th June 2023 | [Imported from supplier master sheet, Supplier ID 11]",True
Krishna Stationary,,9920511484,,9920511484,mailmukesh713@gmail.com,"Stationery Store — Wholesale dealers in notebooks, account book, plastic file folder, gift articles, art material, craft material, school stationery, office stationery & other stationery","356, Abdul Rehman Street, Omirgar Building, Opposite Crawford Market, Mumbai 03",,,,,"Last purchased: 10th July 2023 | [Imported from supplier master sheet, Supplier ID 12]",True
Wondershop Retail,Shruti,9742240477,,,,Stationery Store,"B1-Podium, Godrej Platinum, Vikhroli East, Mumbai 400079",,,,,"Last purchased: 1st June 2023 | [Imported from supplier master sheet, Supplier ID 13]",True
Jameel Arts,Jameel Bhai,9890506053,,,,Painter — Painting - Wall,Vikhroli,,,,,"Last purchased: 22nd Sept 2023 | [Imported from supplier master sheet, Supplier ID 14]",True
Nooruddin Abdulhusein & Sons,Naeem Kagalwala,9867435215,,9867435215,ikagalwala@gmail.com,Packaging — Wholesalers & Retailers of quality gift wrapping paper,"66, Sutar Chawl, Mumbai 400002",,,,,"Alternate No. - Ibrahim Kagalwala - 9892136305 | Last purchased: 13th Oct 2023 | [Imported from supplier master sheet, Supplier ID 15]",True
Paramount Trading Corporation,Dhaval Gala,9821652355,,,paramountbox_official - IG,"Packaging — Manufacturing of gift boxes, trays, potlis, paper bags, gift wrapping paper, etc.","21/23, Sutar Chawl, Abdul Rehman Street, Near Crawford Market, Mumbai 400002",,,,,"Alternate No. - Vishal Shah 7738144727 | Last purchased: 13th Oct 2023 | Office: 022-23412122 | [Imported from supplier master sheet, Supplier ID 16]",True
Kikabhai & Bros - The Paperhub,Husein,9819172364,,,kikabhaibrothers@yahoo.com,"Packaging — Customised Paper Bags, Gift Wrapping, Packaging","58-B, Sutar Chawl, Zaveri bazar, Mumbai 400002",,,,,"Alternate No. - Aliasgar - 9820875314, Abdeali - 989121702 | Last purchased: 13th Oct 2023 | Office: 022-23424803, 022-40045055 | [Imported from supplier master sheet, Supplier ID 17]",True
Local Crawford Store for party decorations,,,,,,Decoration Shop,,,,,,"Last purchased: 22nd Sept 2023 | [Imported from supplier master sheet, Supplier ID 18]",True
Local Crawford Store for stationery,,,,,,Stationery Store,,,,,,"Got smiley sharpners & teddy plastic piggy bank | Last purchased: 22nd Sept 2023 | [Imported from supplier master sheet, Supplier ID 19]",True
Local Crawford Store for Toys - Bohri uncles,,,,,,Toys,,,,,,"Got 2 pc puzzles from them | Last purchased: 22nd Sept 2023 | [Imported from supplier master sheet, Supplier ID 20]",True
CrayonKraft,,9820400362,,,,Art Store,,,,,,"[Imported from supplier master sheet, Supplier ID 21]",True
